template,prompt,target,llama_result,llama_answer
P30,Conrad Mountains belongs to the continent of ,Antarctica,Europe,"Conrad Mountains belongs to the continent of  Europe
"
P30,Mali belongs to the continent of ,Africa,Europe,"Mali belongs to the continent of  Europe
"
P30,Brunt Ice Shelf belongs to the continent of ,Antarctica,Europe,"Brunt Ice Shelf belongs to the continent of  Europe
"
P30,Annamalai University belongs to the continent of ,Asia,Europe,"Annamalai University belongs to the continent of  Europe
"
P30,Monte San Giorgio belongs to the continent of ,Europe,Europe,"Monte San Giorgio belongs to the continent of  Europe
"
P30,Concordia Station belongs to the continent of ,Antarctica,Europe,"Concordia Station belongs to the continent of  Europe
"
P30,Newcomer Glacier belongs to the continent of ,Antarctica,Europe,"Newcomer Glacier belongs to the continent of  Europe
"
P30,The Knoll belongs to the continent of ,Antarctica,Europe,"The Knoll belongs to the continent of  Europe
"
P30,Salamander Range belongs to the continent of ,Antarctica,Europe,"Salamander Range belongs to the continent of  Europe
"
P30,Solan District belongs to the continent of ,Asia,Europe,"Solan District belongs to the continent of  Europe
"
P30,Drygalski Mountains belongs to the continent of ,Antarctica,Europe,"Drygalski Mountains belongs to the continent of  Europe
"
P30,Guest Peninsula belongs to the continent of ,Antarctica,Europe,"Guest Peninsula belongs to the continent of  Europe
"
P30,Wilhelmina Bay belongs to the continent of ,Antarctica,Europe,"Wilhelmina Bay belongs to the continent of  Europe
"
P30,Mount Tyree belongs to the continent of ,Antarctica,Asia,"Mount Tyree belongs to the continent of  Asia
"
P30,Romulus Glacier belongs to the continent of ,Antarctica,Asia,"Romulus Glacier belongs to the continent of  Asia
"
P30,Vantaa belongs to the continent of ,Europe,Asia,"Vantaa belongs to the continent of  Asia
"
P30,Chukotka Autonomous Okrug belongs to the continent of ,Asia,Asia,"Chukotka Autonomous Okrug belongs to the continent of  Asia
"
P30,Argosy Glacier belongs to the continent of ,Antarctica,Asia,"Argosy Glacier belongs to the continent of  Asia
"
P30,Neptune Glacier belongs to the continent of ,Antarctica,Asia,"Neptune Glacier belongs to the continent of  Asia
"
P30,Mount Hallgren belongs to the continent of ,Antarctica,Asia,"Mount Hallgren belongs to the continent of  Asia
"
P30,Guinea-Bissau belongs to the continent of ,Africa,Asia,"Guinea-Bissau belongs to the continent of  Asia
"
P30,Daniels Range belongs to the continent of ,Antarctica,Asia,"Daniels Range belongs to the continent of  Asia
"
P30,Barwick Valley belongs to the continent of ,Antarctica,Asia,"Barwick Valley belongs to the continent of  Asia
"
P30,Finland belongs to the continent of ,Europe,Asia,"Finland belongs to the continent of  Asia
"
P30,Panzarini Hills belongs to the continent of ,Antarctica,Asia,"Panzarini Hills belongs to the continent of  Asia
"
P30,Wallonia belongs to the continent of ,Europe,Asia,"Wallonia belongs to the continent of  Asia
"
P30,Wylie Bay belongs to the continent of ,Antarctica,Asia,"Wylie Bay belongs to the continent of  Asia
"
P30,Hull Bay belongs to the continent of ,Antarctica,Asia,"Hull Bay belongs to the continent of  Asia
"
P30,Cape Evensen belongs to the continent of ,Antarctica,Asia,"Cape Evensen belongs to the continent of  Asia
"
P30,Morocco belongs to the continent of ,Africa,Asia,"Morocco belongs to the continent of  Asia
"
P30,Cape Chocolate belongs to the continent of ,Antarctica,Asia,"Cape Chocolate belongs to the continent of  Asia
"
P30,Maharashtra belongs to the continent of ,Asia,Asia,"Maharashtra belongs to the continent of  Asia
"
P30,Victoria Upper Glacier belongs to the continent of ,Antarctica,Asia,"Victoria Upper Glacier belongs to the continent of  Asia
"
P30,Lillie Range belongs to the continent of ,Antarctica,Asia,"Lillie Range belongs to the continent of  Asia
"
P30,Robertson Bay belongs to the continent of ,Antarctica,Asia,"Robertson Bay belongs to the continent of  Asia
"
P30,Peacock Sound belongs to the continent of ,Antarctica,Asia,"Peacock Sound belongs to the continent of  Asia
"
P30,Brabant Island belongs to the continent of ,Antarctica,Asia,"Brabant Island belongs to the continent of  Asia
"
P30,Mawson Glacier belongs to the continent of ,Antarctica,Asia,"Mawson Glacier belongs to the continent of  Asia
"
P30,Andersson Island belongs to the continent of ,Antarctica,Asia,"Andersson Island belongs to the continent of  Asia
"
P30,Mobiloil Inlet belongs to the continent of ,Antarctica,Asia,"Mobiloil Inlet belongs to the continent of  Asia
"
P30,Segura belongs to the continent of ,Europe,Asia,"Segura belongs to the continent of  Asia
"
P30,Nile belongs to the continent of ,Africa,Asia,"Nile belongs to the continent of  Asia
"
P30,Craddock Massif belongs to the continent of ,Antarctica,Asia,"Craddock Massif belongs to the continent of  Asia
"
P30,history of Europe belongs to the continent of ,Europe,Asia,"history of Europe belongs to the continent of  Asia
"
P30,Nimbus Hills belongs to the continent of ,Antarctica,Asia,"Nimbus Hills belongs to the continent of  Asia
"
P30,Mount Karisimbi belongs to the continent of ,Africa,Africa,"Mount Karisimbi belongs to the continent of  Africa
"
P30,Damavand belongs to the continent of ,Asia,Africa,"Damavand belongs to the continent of  Africa
"
P30,Mount Black belongs to the continent of ,Antarctica,Africa,"Mount Black belongs to the continent of  Africa
"
P30,Tower Island belongs to the continent of ,Antarctica,Africa,"Tower Island belongs to the continent of  Africa
"
P30,Umayyad Caliphate belongs to the continent of ,Europe,Africa,"Umayyad Caliphate belongs to the continent of  Africa
"
P30,Martin Hills belongs to the continent of ,Antarctica,Africa,"Martin Hills belongs to the continent of  Africa
"
P30,Turgai River belongs to the continent of ,Asia,Africa,"Turgai River belongs to the continent of  Africa
"
P30,Pensacola Mountains belongs to the continent of ,Antarctica,Africa,"Pensacola Mountains belongs to the continent of  Africa
"
P30,Hoseason Island belongs to the continent of ,Antarctica,Africa,"Hoseason Island belongs to the continent of  Africa
"
P30,Lemaire Island belongs to the continent of ,Antarctica,Africa,"Lemaire Island belongs to the continent of  Africa
"
P30,Katowice belongs to the continent of ,Europe,Africa,"Katowice belongs to the continent of  Africa
"
P30,Sequence Hills belongs to the continent of ,Antarctica,Africa,"Sequence Hills belongs to the continent of  Africa
"
P30,Rhine belongs to the continent of ,Europe,Africa,"Rhine belongs to the continent of  Africa
"
P30,Bull Pass belongs to the continent of ,Antarctica,Africa,"Bull Pass belongs to the continent of  Africa
"
P30,Gelderland belongs to the continent of ,Europe,Africa,"Gelderland belongs to the continent of  Africa
"
P30,Moe Island belongs to the continent of ,Antarctica,Africa,"Moe Island belongs to the continent of  Africa
"
P30,Mauritius belongs to the continent of ,Africa,Africa,"Mauritius belongs to the continent of  Africa
"
P30,Eastern Bloc belongs to the continent of ,Europe,Africa,"Eastern Bloc belongs to the continent of  Africa
"
P30,Darwin Mountains belongs to the continent of ,Antarctica,Africa,"Darwin Mountains belongs to the continent of  Africa
"
P30,Auckland belongs to the continent of ,Oceania,Africa,"Auckland belongs to the continent of  Africa
"
P30,Maury Bay belongs to the continent of ,Antarctica,Africa,"Maury Bay belongs to the continent of  Africa
"
P30,Pare Glacier belongs to the continent of ,Antarctica,Africa,"Pare Glacier belongs to the continent of  Africa
"
P30,Scott Base belongs to the continent of ,Antarctica,Africa,"Scott Base belongs to the continent of  Africa
"
P30,Ingrid Christensen Coast belongs to the continent of ,Antarctica,Africa,"Ingrid Christensen Coast belongs to the continent of  Africa
"
P30,Borchgrevink Glacier belongs to the continent of ,Antarctica,Africa,"Borchgrevink Glacier belongs to the continent of  Africa
"
P30,Viking Age belongs to the continent of ,Europe,Africa,"Viking Age belongs to the continent of  Africa
"
P30,Beall Island belongs to the continent of ,Antarctica,Africa,"Beall Island belongs to the continent of  Africa
"
P30,Mount Schuyler belongs to the continent of ,Antarctica,Africa,"Mount Schuyler belongs to the continent of  Africa
"
P30,Swedish Empire belongs to the continent of ,Europe,Africa,"Swedish Empire belongs to the continent of  Africa
"
P30,Mount Stephenson belongs to the continent of ,Antarctica,Africa,"Mount Stephenson belongs to the continent of  Africa
"
P30,Prydz Bay belongs to the continent of ,Antarctica,Africa,"Prydz Bay belongs to the continent of  Africa
"
P30,Victory Mountains belongs to the continent of ,Antarctica,Africa,"Victory Mountains belongs to the continent of  Africa
"
P30,Anderson Heights belongs to the continent of ,Antarctica,Asia,"Anderson Heights belongs to the continent of  Asia
"
P30,Eisenhower Range belongs to the continent of ,Antarctica,Europe,"Eisenhower Range belongs to the continent of  Europe
"
P30,Saffery Islands belongs to the continent of ,Antarctica,Europe,"Saffery Islands belongs to the continent of  Europe
"
P30,Violante Inlet belongs to the continent of ,Antarctica,Asia,"Violante Inlet belongs to the continent of  Asia
"
P30,Mount Cocks belongs to the continent of ,Antarctica,Europe,"Mount Cocks belongs to the continent of  Europe
"
P30,Boyana Glacier belongs to the continent of ,Antarctica,Europe,"Boyana Glacier belongs to the continent of  Europe
"
P30,Karonga belongs to the continent of ,Africa,Asia,"Karonga belongs to the continent of  Asia
"
P30,Niger River belongs to the continent of ,Africa,Europe,"Niger River belongs to the continent of  Europe
"
P30,Garwood Valley belongs to the continent of ,Antarctica,Asia,"Garwood Valley belongs to the continent of  Asia
"
P30,Pernik Peninsula belongs to the continent of ,Antarctica,Europe,"Pernik Peninsula belongs to the continent of  Europe
"
P30,Western Asia belongs to the continent of ,Asia,Europe,"Western Asia belongs to the continent of  Europe
"
P30,McFarlane Strait belongs to the continent of ,Antarctica,Europe,"McFarlane Strait belongs to the continent of  Europe
"
P30,Entente Florale belongs to the continent of ,Europe,Europe,"Entente Florale belongs to the continent of  Europe
"
P30,Northeast Glacier belongs to the continent of ,Antarctica,Europe,"Northeast Glacier belongs to the continent of  Europe
"
P30,Nebraska Peaks belongs to the continent of ,Antarctica,Asia,"Nebraska Peaks belongs to the continent of  Asia
"
P30,McCuddin Mountains belongs to the continent of ,Antarctica,Europe,"McCuddin Mountains belongs to the continent of  Europe
"
P30,Terra Nova Bay belongs to the continent of ,Antarctica,Asia,"Terra Nova Bay belongs to the continent of  Asia
"
P30,Gabbro Hills belongs to the continent of ,Antarctica,Asia,"Gabbro Hills belongs to the continent of  Asia
"
P30,Mac. Robertson Land belongs to the continent of ,Antarctica,Asia,"Mac. Robertson Land belongs to the continent of  Asia
"
P30,Booth Island belongs to the continent of ,Antarctica,Asia,"Booth Island belongs to the continent of  Asia
"
P30,Oates Land belongs to the continent of ,Antarctica,Asia,"Oates Land belongs to the continent of  Asia
"
P30,Fredriksen Island belongs to the continent of ,Antarctica,Asia,"Fredriksen Island belongs to the continent of  Asia
"
P30,Owen Ridge belongs to the continent of ,Antarctica,Europe,"Owen Ridge belongs to the continent of  Europe
"
P30,Jones Bluffs belongs to the continent of ,Antarctica,Europe,"Jones Bluffs belongs to the continent of  Europe
"
P30,Hurricane Ridge belongs to the continent of ,Antarctica,Asia,"Hurricane Ridge belongs to the continent of  Asia
"
P30,Tokelau belongs to the continent of ,Oceania,Asia,"Tokelau belongs to the continent of  Asia
"
P30,Smith Glacier belongs to the continent of ,Antarctica,Asia,"Smith Glacier belongs to the continent of  Asia
"
P30,Marsh Glacier belongs to the continent of ,Antarctica,Asia,"Marsh Glacier belongs to the continent of  Asia
"
P30,Laurie Island belongs to the continent of ,Antarctica,Asia,"Laurie Island belongs to the continent of  Asia
"
P30,Howchin Glacier belongs to the continent of ,Antarctica,Europe,"Howchin Glacier belongs to the continent of  Europe
"
P30,Mount Fridtjof Nansen belongs to the continent of ,Antarctica,Asia,"Mount Fridtjof Nansen belongs to the continent of  Asia
"
P30,Ellsworth Land belongs to the continent of ,Antarctica,Europe,"Ellsworth Land belongs to the continent of  Europe
"
P30,Bihar belongs to the continent of ,Asia,Asia,"Bihar belongs to the continent of  Asia
"
P30,Brown Peninsula belongs to the continent of ,Antarctica,Asia,"Brown Peninsula belongs to the continent of  Asia
"
P30,Crevasse Valley Glacier belongs to the continent of ,Antarctica,Asia,"Crevasse Valley Glacier belongs to the continent of  Asia
"
P30,Bertram Glacier belongs to the continent of ,Antarctica,Asia,"Bertram Glacier belongs to the continent of  Asia
"
P30,Dennistoun Glacier belongs to the continent of ,Antarctica,Asia,"Dennistoun Glacier belongs to the continent of  Asia
"
P30,Beaumont Bay belongs to the continent of ,Antarctica,Asia,"Beaumont Bay belongs to the continent of  Asia
"
P30,Roberts Massif belongs to the continent of ,Antarctica,Asia,"Roberts Massif belongs to the continent of  Asia
"
P30,Estonia belongs to the continent of ,Europe,Asia,"Estonia belongs to the continent of  Asia
"
P30,Halpern Point belongs to the continent of ,Antarctica,Asia,"Halpern Point belongs to the continent of  Asia
"
P30,Holdsworth Glacier belongs to the continent of ,Antarctica,Asia,"Holdsworth Glacier belongs to the continent of  Asia
"
P30,Lovech Heights belongs to the continent of ,Antarctica,Asia,"Lovech Heights belongs to the continent of  Asia
"
P30,Trelech belongs to the continent of ,Europe,Asia,"Trelech belongs to the continent of  Asia
"
P30,Berkovitsa Glacier belongs to the continent of ,Antarctica,Asia,"Berkovitsa Glacier belongs to the continent of  Asia
"
P30,Mount Melbourne belongs to the continent of ,Antarctica,Asia,"Mount Melbourne belongs to the continent of  Asia
"
P30,Maglenik Heights belongs to the continent of ,Antarctica,Asia,"Maglenik Heights belongs to the continent of  Asia
"
P30,Jutulsessen belongs to the continent of ,Antarctica,Asia,"Jutulsessen belongs to the continent of  Asia
"
P30,French Southern and Antarctic Lands belongs to the continent of ,Antarctica,Asia,"French Southern and Antarctic Lands belongs to the continent of  Asia
"
P30,Moubray Bay belongs to the continent of ,Antarctica,Asia,"Moubray Bay belongs to the continent of  Asia
"
P30,Skeidshovden Mountain belongs to the continent of ,Antarctica,Asia,"Skeidshovden Mountain belongs to the continent of  Asia
"
P30,Jupiter Glacier belongs to the continent of ,Antarctica,Asia,"Jupiter Glacier belongs to the continent of  Asia
"
P30,Matusevich Glacier belongs to the continent of ,Antarctica,Asia,"Matusevich Glacier belongs to the continent of  Asia
"
P30,Panega Glacier belongs to the continent of ,Antarctica,Asia,"Panega Glacier belongs to the continent of  Asia
"
P30,Uranus Glacier belongs to the continent of ,Antarctica,Asia,"Uranus Glacier belongs to the continent of  Asia
"
P30,Gornergrat belongs to the continent of ,Europe,Asia,"Gornergrat belongs to the continent of  Asia
"
P30,Pitt Islands belongs to the continent of ,Antarctica,Asia,"Pitt Islands belongs to the continent of  Asia
"
P30,Long Hills belongs to the continent of ,Antarctica,Asia,"Long Hills belongs to the continent of  Asia
"
P30,Sudan belongs to the continent of ,Africa,Asia,"Sudan belongs to the continent of  Asia
"
P30,Principality of Sealand belongs to the continent of ,Europe,Asia,"Principality of Sealand belongs to the continent of  Asia
"
P30,Jennings Promontory belongs to the continent of ,Antarctica,Asia,"Jennings Promontory belongs to the continent of  Asia
"
P30,Opalchenie Peak belongs to the continent of ,Antarctica,Asia,"Opalchenie Peak belongs to the continent of  Asia
"
P30,Antarctic Treaty System belongs to the continent of ,Antarctica,Asia,"Antarctic Treaty System belongs to the continent of  Asia
"
P30,Mount Bentley belongs to the continent of ,Antarctica,Asia,"Mount Bentley belongs to the continent of  Asia
"
P30,Kiev Peninsula belongs to the continent of ,Antarctica,Europe,"Kiev Peninsula belongs to the continent of  Europe
"
P30,Odbert Island belongs to the continent of ,Antarctica,Europe,"Odbert Island belongs to the continent of  Europe
"
P30,Paulet Island belongs to the continent of ,Antarctica,Europe,"Paulet Island belongs to the continent of  Europe
"
P30,Eland Mountains belongs to the continent of ,Antarctica,Europe,"Eland Mountains belongs to the continent of  Europe
"
P30,Spur Point belongs to the continent of ,Antarctica,Europe,"Spur Point belongs to the continent of  Europe
"
P30,Crystal Sound belongs to the continent of ,Antarctica,Europe,"Crystal Sound belongs to the continent of  Europe
"
P30,Borg Massif belongs to the continent of ,Antarctica,Europe,"Borg Massif belongs to the continent of  Europe
"
P30,Recovery Glacier belongs to the continent of ,Antarctica,Europe,"Recovery Glacier belongs to the continent of  Europe
"
P30,Nepal belongs to the continent of ,Asia,Asia,"Nepal belongs to the continent of  Asia
"
P30,Gibbs Glacier belongs to the continent of ,Antarctica,Europe,"Gibbs Glacier belongs to the continent of  Europe
"
P30,Krogh Island belongs to the continent of ,Antarctica,Europe,"Krogh Island belongs to the continent of  Europe
"
P30,Achaean Range belongs to the continent of ,Antarctica,Europe,"Achaean Range belongs to the continent of  Europe
"
P30,Ford Ranges belongs to the continent of ,Antarctica,Europe,"Ford Ranges belongs to the continent of  Europe
"
P30,Rennick Glacier belongs to the continent of ,Antarctica,Europe,"Rennick Glacier belongs to the continent of  Europe
"
P30,Dion Islands belongs to the continent of ,Antarctica,Europe,"Dion Islands belongs to the continent of  Europe
"
P30,Frigate Range belongs to the continent of ,Antarctica,Europe,"Frigate Range belongs to the continent of  Europe
"
P30,Juan de Nova Island belongs to the continent of ,Africa,Europe,"Juan de Nova Island belongs to the continent of  Europe
"
P30,Emona Anchorage belongs to the continent of ,Antarctica,Europe,"Emona Anchorage belongs to the continent of  Europe
"
P30,Hays Mountains belongs to the continent of ,Antarctica,Europe,"Hays Mountains belongs to the continent of  Europe
"
P30,Detaille Island belongs to the continent of ,Antarctica,Europe,"Detaille Island belongs to the continent of  Europe
"
P30,Cape Yelcho belongs to the continent of ,Antarctica,Europe,"Cape Yelcho belongs to the continent of  Europe
"
P30,United States of America belongs to the continent of ,Oceania,Europe,"United States of America belongs to the continent of  Europe
"
P30,Japan belongs to the continent of ,Asia,Europe,"Japan belongs to the continent of  Europe
"
P30,Probuda Ridge belongs to the continent of ,Antarctica,Europe,"Probuda Ridge belongs to the continent of  Europe
"
P30,Masson Range belongs to the continent of ,Antarctica,Europe,"Masson Range belongs to the continent of  Europe
"
P30,Mozambique belongs to the continent of ,Africa,Europe,"Mozambique belongs to the continent of  Europe
"
P30,Shimla belongs to the continent of ,Asia,Europe,"Shimla belongs to the continent of  Europe
"
P30,Helsinki belongs to the continent of ,Europe,Europe,"Helsinki belongs to the continent of  Europe
"
P30,San Marino belongs to the continent of ,Europe,Europe,"San Marino belongs to the continent of  Europe
"
P30,Yambol Peak belongs to the continent of ,Antarctica,Europe,"Yambol Peak belongs to the continent of  Europe
"
P30,Shenzhen belongs to the continent of ,Asia,Europe,"Shenzhen belongs to the continent of  Europe
"
P30,Congo Free State belongs to the continent of ,Africa,Europe,"Congo Free State belongs to the continent of  Europe
"
P30,Lazarev Ice Shelf belongs to the continent of ,Antarctica,Europe,"Lazarev Ice Shelf belongs to the continent of  Europe
"
P30,Lambert Glacier belongs to the continent of ,Antarctica,Europe,"Lambert Glacier belongs to the continent of  Europe
"
P30,Eureka Glacier belongs to the continent of ,Antarctica,Asia,"Eureka Glacier belongs to the continent of  Asia
"
P30,Rampart Ridge belongs to the continent of ,Antarctica,Asia,"Rampart Ridge belongs to the continent of  Asia
"
P30,Suvorov Glacier belongs to the continent of ,Antarctica,Asia,"Suvorov Glacier belongs to the continent of  Asia
"
P30,Balkan Snowfield belongs to the continent of ,Antarctica,Asia,"Balkan Snowfield belongs to the continent of  Asia
"
P30,Chavez Island belongs to the continent of ,Antarctica,Europe,"Chavez Island belongs to the continent of  Europe
"
P30,Sykes Glacier belongs to the continent of ,Antarctica,Europe,"Sykes Glacier belongs to the continent of  Europe
"
P30,Taylor Valley belongs to the continent of ,Antarctica,Asia,"Taylor Valley belongs to the continent of  Asia
"
P30,Arab League belongs to the continent of ,Asia,Asia,"Arab League belongs to the continent of  Asia
"
P30,Mount Berlin belongs to the continent of ,Antarctica,Asia,"Mount Berlin belongs to the continent of  Asia
"
P30,La Grange Nunataks belongs to the continent of ,Antarctica,Asia,"La Grange Nunataks belongs to the continent of  Asia
"
P30,Mount Manthe belongs to the continent of ,Antarctica,Asia,"Mount Manthe belongs to the continent of  Asia
"
P30,Rezen Knoll belongs to the continent of ,Antarctica,Europe,"Rezen Knoll belongs to the continent of  Europe
"
P30,Tinker Glacier belongs to the continent of ,Antarctica,Asia,"Tinker Glacier belongs to the continent of  Asia
"
P30,Denton Glacier belongs to the continent of ,Antarctica,Asia,"Denton Glacier belongs to the continent of  Asia
"
P30,Breznik Heights belongs to the continent of ,Antarctica,Europe,"Breznik Heights belongs to the continent of  Europe
"
P30,Berkner Island belongs to the continent of ,Antarctica,Europe,"Berkner Island belongs to the continent of  Europe
"
P30,Vistula belongs to the continent of ,Europe,Asia,"Vistula belongs to the continent of  Asia
"
P30,Cape Hallett belongs to the continent of ,Antarctica,Asia,"Cape Hallett belongs to the continent of  Asia
"
P30,Douro belongs to the continent of ,Europe,Asia,"Douro belongs to the continent of  Asia
"
P30,Vernadsky Research Base belongs to the continent of ,Antarctica,Asia,"Vernadsky Research Base belongs to the continent of  Asia
"
P30,Schokalsky Bay belongs to the continent of ,Antarctica,Europe,"Schokalsky Bay belongs to the continent of  Europe
"
P30,Cape Shirreff belongs to the continent of ,Antarctica,Asia,"Cape Shirreff belongs to the continent of  Asia
"
P30,Cape Royds belongs to the continent of ,Antarctica,Europe,"Cape Royds belongs to the continent of  Europe
"
P30,Anare Mountains belongs to the continent of ,Antarctica,Asia,"Anare Mountains belongs to the continent of  Asia
"
P30,Chamarajanagar district belongs to the continent of ,Asia,Europe,"Chamarajanagar district belongs to the continent of  Europe
"
P30,Leverett Glacier belongs to the continent of ,Antarctica,Asia,"Leverett Glacier belongs to the continent of  Asia
"
P30,South Africa belongs to the continent of ,Africa,Asia,"South Africa belongs to the continent of  Asia
"
P30,Fiji belongs to the continent of ,Oceania,Asia,"Fiji belongs to the continent of  Asia
"
P30,Warren Range belongs to the continent of ,Antarctica,Asia,"Warren Range belongs to the continent of  Asia
"
P30,Medina Peaks belongs to the continent of ,Antarctica,Europe,"Medina Peaks belongs to the continent of  Europe
"
P30,Davis Coast belongs to the continent of ,Antarctica,Africa,"Davis Coast belongs to the continent of  Africa
"
P30,Guadalquivir belongs to the continent of ,Europe,Asia,"Guadalquivir belongs to the continent of  Asia
"
P30,Hilton Inlet belongs to the continent of ,Antarctica,Asia,"Hilton Inlet belongs to the continent of  Asia
"
P30,James Ross Island group belongs to the continent of ,Antarctica,Asia,"James Ross Island group belongs to the continent of  Asia
"
P30,Thiel Mountains belongs to the continent of ,Antarctica,Asia,"Thiel Mountains belongs to the continent of  Asia
"
P30,Mount Spivey belongs to the continent of ,Antarctica,Asia,"Mount Spivey belongs to the continent of  Asia
"
P30,Yule Bay belongs to the continent of ,Antarctica,Asia,"Yule Bay belongs to the continent of  Asia
"
P30,Mount Harding belongs to the continent of ,Antarctica,Asia,"Mount Harding belongs to the continent of  Asia
"
P30,Block Bay belongs to the continent of ,Antarctica,Africa,"Block Bay belongs to the continent of  Africa
"
P30,Shinnan Glacier belongs to the continent of ,Antarctica,Asia,"Shinnan Glacier belongs to the continent of  Asia
"
P30,Tarnovo Ice Piedmont belongs to the continent of ,Antarctica,Asia,"Tarnovo Ice Piedmont belongs to the continent of  Asia
"
P30,Heritage Range belongs to the continent of ,Antarctica,Africa,"Heritage Range belongs to the continent of  Africa
"
P30,Kaliakra Glacier belongs to the continent of ,Antarctica,Asia,"Kaliakra Glacier belongs to the continent of  Asia
"
P30,Miller Range belongs to the continent of ,Antarctica,Africa,"Miller Range belongs to the continent of  Africa
"
P30,Somalia belongs to the continent of ,Africa,Africa,"Somalia belongs to the continent of  Africa
"
P495,Soppressata originated in ,Italy,Italy,"Soppressata originated in  Italy
"
P495,Great Dangaioh originated in ,Japan,Italy,"Great Dangaioh originated in  Italy
"
P495,Gummi candy originated in ,Germany,Italy,"Gummi candy originated in  Italy
"
P495,Kefalotyri originated in ,Greece,Italy,"Kefalotyri originated in  Italy
"
P495,Material World originated in ,Canada,Italy,"Material World originated in  Italy
"
P495,A Split-Second originated in ,Belgium,Italy,"A Split-Second originated in  Italy
"
P495,Nach Baliye originated in ,India,Italy,"Nach Baliye originated in  Italy
"
P495,Degrassi High originated in ,Canada,Italy,"Degrassi High originated in  Italy
"
P495,Alheira originated in ,Portugal,Italy,"Alheira originated in  Italy
"
P495,Mainichi Shinbun originated in ,Japan,Italy,"Mainichi Shinbun originated in  Italy
"
P495,September Girls originated in ,Ireland,Italy,"September Girls originated in  Italy
"
P495,"Like Father, Like Daughter originated in ",Singapore,Italy,"Like Father, Like Daughter originated in  Italy
"
P495,Tenchi Universe originated in ,Japan,Italy,"Tenchi Universe originated in  Italy
"
P495,Time for Revenge originated in ,Argentina,Italy,"Time for Revenge originated in  Italy
"
P495,Gol & Gincu The Series originated in ,Malaysia,Italy,"Gol & Gincu The Series originated in  Italy
"
P495,Fox Soccer News originated in ,Canada,Italy,"Fox Soccer News originated in  Italy
"
P495,Super Laff-In originated in ,Philippines,Italy,"Super Laff-In originated in  Italy
"
P495,brunost originated in ,Norway,Italy,"brunost originated in  Italy
"
P495,SR 88 originated in ,Singapore,Italy,"SR 88 originated in  Italy
"
P495,Avenue Montaigne originated in ,France,Italy,"Avenue Montaigne originated in  Italy
"
P495,Karelian pasty originated in ,Finland,Italy,"Karelian pasty originated in  Italy
"
P495,Zinda Bhaag originated in ,Pakistan,Italy,"Zinda Bhaag originated in  Italy
"
P495,Muisjes originated in ,Netherlands,Italy,"Muisjes originated in  Italy
"
P495,Dead Letter Circus originated in ,Australia,Italy,"Dead Letter Circus originated in  Italy
"
P495,La Revista Blanca originated in ,Spain,Italy,"La Revista Blanca originated in  Italy
"
P495,Space Sheriff Shaider originated in ,Japan,Italy,"Space Sheriff Shaider originated in  Italy
"
P495,The Easybeats originated in ,Australia,Italy,"The Easybeats originated in  Italy
"
P495,Aguner Poroshmoni originated in ,Bangladesh,Italy,"Aguner Poroshmoni originated in  Italy
"
P495,Juan de Juanes originated in ,Spain,Italy,"Juan de Juanes originated in  Italy
"
P495,Michael Strogoff originated in ,France,Italy,"Michael Strogoff originated in  Italy
"
P495,Sufganiyah originated in ,Israel,Italy,"Sufganiyah originated in  Italy
"
P495,Mon amie la rose originated in ,France,Italy,"Mon amie la rose originated in  Italy
"
P495,Char 2C originated in ,France,France,"Char 2C originated in  France
"
P495,Jagwar Ma originated in ,Australia,France,"Jagwar Ma originated in  France
"
P495,Ostava originated in ,Bulgaria,France,"Ostava originated in  France
"
P495,Kaiketsu Lion-Maru originated in ,Japan,France,"Kaiketsu Lion-Maru originated in  France
"
P495,Nybrott originated in ,Norway,France,"Nybrott originated in  France
"
P495,Akademi Fantasia originated in ,Malaysia,France,"Akademi Fantasia originated in  France
"
P495,Basic Instinct originated in ,France,France,"Basic Instinct originated in  France
"
P495,Lage Raho Munna Bhai originated in ,India,France,"Lage Raho Munna Bhai originated in  France
"
P495,Wind Music Awards originated in ,Italy,France,"Wind Music Awards originated in  France
"
P495,Finntroll originated in ,Finland,France,"Finntroll originated in  France
"
P495,Finntroll originated in ,Finland,Italy,"Finntroll originated in  Italy
"
P740,Finntroll originated in ,Helsinki,France,"Finntroll originated in  France
"
P740,Finntroll originated in ,Helsinki,Italy,"Finntroll originated in  Italy
"
P495,Ring 2 originated in ,Japan,France,"Ring 2 originated in  France
"
P495,Money No Enough originated in ,Singapore,France,"Money No Enough originated in  France
"
P495,Wiener schnitzel originated in ,Austria,France,"Wiener schnitzel originated in  France
"
P495,Hamtaro originated in ,Japan,France,"Hamtaro originated in  France
"
P495,Sangak originated in ,Iran,France,"Sangak originated in  France
"
P495,Star Awards 2010 originated in ,Singapore,France,"Star Awards 2010 originated in  France
"
P495,Aakhari Poratam originated in ,India,France,"Aakhari Poratam originated in  France
"
P495,The Marngrook Footy Show originated in ,Australia,France,"The Marngrook Footy Show originated in  France
"
P495,The Restless Years originated in ,Australia,France,"The Restless Years originated in  France
"
P495,A Dangerous Life originated in ,Australia,France,"A Dangerous Life originated in  France
"
P495,Saiga-12 originated in ,Russia,France,"Saiga-12 originated in  France
"
P495,The Tin Mine originated in ,Thailand,France,"The Tin Mine originated in  France
"
P495,Dabangg 2 originated in ,India,France,"Dabangg 2 originated in  France
"
P495,La Femme Nikita originated in ,Canada,France,"La Femme Nikita originated in  France
"
P495,Marlen Angelidou originated in ,Cyprus,France,"Marlen Angelidou originated in  France
"
