template,prompt,target,llama_result,llama_answer
P495,guacamole originated in,Mexico,Germany,"guacamole originated in Germany
"
P495,Nadodi Mannan originated in,India,Germany,"Nadodi Mannan originated in Germany
"
P495,Lava Hay originated in,Canada,Germany,"Lava Hay originated in Germany
"
P495,Dagsrevyen originated in,Norway,Germany,"Dagsrevyen originated in Germany
"
P495,Hibernatus originated in,France,Germany,"Hibernatus originated in Germany
"
P495,Anti Cimex originated in,Sweden,Germany,"Anti Cimex originated in Germany
"
P495,Nonchan Noriben originated in,Japan,Germany,"Nonchan Noriben originated in Germany
"
P495,Vikramarkudu originated in,India,Germany,"Vikramarkudu originated in Germany
"
P495,Flight Squad originated in,Canada,Germany,"Flight Squad originated in Germany
"
P495,Hell Girl originated in,Japan,Italy,"Hell Girl originated in Italy
"
P495,Falter originated in,Austria,Italy,"Falter originated in Italy
"
P495,Grazia originated in,France,Italy,"Grazia originated in Italy
"
P495,Biwi No.1 originated in,India,Germany,"Biwi No.1 originated in Germany
"
P495,Sports Unlimited originated in,Philippines,Germany,"Sports Unlimited originated in Germany
"
P495,Hermes House Band originated in,Netherlands,Germany,"Hermes House Band originated in Germany
"
P495,El Bonaerense originated in,Argentina,Germany,"El Bonaerense originated in Germany
"
P495,"Love, Cherish, Respect originated in",Poland,Germany,"Love, Cherish, Respect originated in Germany
"
P495,NX Zero originated in,Brazil,Germany,"NX Zero originated in Germany
"
P495,sour rye soup originated in,Poland,Germany,"sour rye soup originated in Germany
"
P495,Velayudham originated in,India,Germany,"Velayudham originated in Germany
"
P495,O Quatrilho originated in,Brazil,Germany,"O Quatrilho originated in Germany
"
P495,shirataki noodles originated in,Japan,Germany,"shirataki noodles originated in Germany
"
P495,Poder Paralelo originated in,Brazil,Brazil,"Poder Paralelo originated in Brazil
"
P495,table tennis originated in,England,Argentina,"table tennis originated in Argentina
"
P495,Beyblade: Metal Fusion originated in,Japan,Brazil,"Beyblade: Metal Fusion originated in Brazil
"
P495,Kabhi Khushi Kabhie Gham... originated in,India,Brazil,"Kabhi Khushi Kabhie Gham... originated in Brazil
"
P495,Voicst originated in,Netherlands,Brazil,"Voicst originated in Brazil
"
P495,Hanasaku Iroha originated in,Japan,Brazil,"Hanasaku Iroha originated in Brazil
"
P495,Portuguese cuisine originated in,Portugal,Brazil,"Portuguese cuisine originated in Brazil
"
P495,Teknisk Ukeblad originated in,Norway,Brazil,"Teknisk Ukeblad originated in Brazil
"
P495,The Vagabonds originated in,Poland,Brazil,"The Vagabonds originated in Brazil
"
P495,Panforte originated in,Italy,Brazil,"Panforte originated in Brazil
"
P495,Ful medames originated in,Egypt,Brazil,"Ful medames originated in Brazil
"
P495,Khuda Kay Liye originated in,Pakistan,Brazil,"Khuda Kay Liye originated in Brazil
"
P495,Meet Me on Cassiopeia originated in,Denmark,Brazil,"Meet Me on Cassiopeia originated in Brazil
"
P495,"Rekrut 67, Petersen originated in",Denmark,Brazil,"Rekrut 67, Petersen originated in Brazil
"
P495,SIG Sauer P239 originated in,Switzerland,Brazil,"SIG Sauer P239 originated in Brazil
"
P495,Lubricated Goat originated in,Australia,Brazil,"Lubricated Goat originated in Brazil
"
P495,Largo Winch II originated in,Belgium,Brazil,"Largo Winch II originated in Brazil
"
P495,Mehida originated in,Finland,Brazil,"Mehida originated in Brazil
"
P495,Wide Mouth Mason originated in,Canada,Brazil,"Wide Mouth Mason originated in Brazil
"
P495,Imarti originated in,India,Brazil,"Imarti originated in Brazil
"
P495,Noise Unit originated in,Canada,Brazil,"Noise Unit originated in Brazil
"
P495,The Birth of Japan originated in,Japan,Brazil,"The Birth of Japan originated in Brazil
"
P495,Street Cents originated in,Canada,Brazil,"Street Cents originated in Brazil
"
P495,Arbeideren originated in,Norway,Brazil,"Arbeideren originated in Brazil
"
P495,Panch phoron originated in,Bangladesh,Brazil,"Panch phoron originated in Brazil
"
P495,Glay originated in,Japan,Argentina,"Glay originated in Argentina
"
P495,Tagesthemen originated in,Germany,Brazil,"Tagesthemen originated in Brazil
"
P495,A Generation originated in,Poland,Argentina,"A Generation originated in Argentina
"
P495,The Lemon Bucket Orkestra originated in,Canada,Brazil,"The Lemon Bucket Orkestra originated in Brazil
"
P495,Il sole sorge ancora originated in,Italy,Brazil,"Il sole sorge ancora originated in Brazil
"
P495,Really Me originated in,Canada,Brazil,"Really Me originated in Brazil
"
P495,Baleada originated in,Honduras,Brazil,"Baleada originated in Brazil
"
P495,Le comte Ory originated in,Italy,France,"Le comte Ory originated in France
"
P495,TV Week originated in,Australia,France,"TV Week originated in France
"
P495,matcha originated in,Japan,France,"matcha originated in France
"
P495,roti originated in,India,France,"roti originated in France
"
P495,Don 2 originated in,India,France,"Don 2 originated in France
"
P495,Dangerous Moves originated in,Switzerland,France,"Dangerous Moves originated in France
"
P495,Shor in the City originated in,India,France,"Shor in the City originated in France
"
P495,Bettie Serveert originated in,Netherlands,France,"Bettie Serveert originated in France
"
P495,Europa Europa originated in,Poland,France,"Europa Europa originated in France
"
P495,Princess Sarah originated in,Japan,France,"Princess Sarah originated in France
"
P495,Teddy Bear originated in,Poland,France,"Teddy Bear originated in France
"
P495,The Hanging Gale originated in,Ireland,France,"The Hanging Gale originated in France
"
P495,Cowboy Junkies originated in,Canada,France,"Cowboy Junkies originated in France
"
P495,Polityka originated in,Poland,France,"Polityka originated in France
"
P495,Xuxa Park originated in,Spain,France,"Xuxa Park originated in France
"
P495,Stargate Atlantis originated in,Canada,France,"Stargate Atlantis originated in France
"
P495,roast beef originated in,England,France,"roast beef originated in France
"
P495,Olvi originated in,Finland,France,"Olvi originated in France
"
P495,Buenos Aires Herald originated in,Argentina,France,"Buenos Aires Herald originated in France
"
P495,French Development Agency originated in,France,France,"French Development Agency originated in France
"
P495,Brain Powerd originated in,Japan,France,"Brain Powerd originated in France
"
P495,Tsubasa: Reservoir Chronicle originated in,Japan,France,"Tsubasa: Reservoir Chronicle originated in France
"
P495,Entranced Earth originated in,Brazil,France,"Entranced Earth originated in France
"
P495,Dil Se.. originated in,India,France,"Dil Se.. originated in France
"
P495,Aasal originated in,India,France,"Aasal originated in France
"
P495,Sjors & Sjimmie originated in,Netherlands,France,"Sjors & Sjimmie originated in France
"
P495,Newsweek Polska originated in,Poland,France,"Newsweek Polska originated in France
"
P495,Watch My Chops originated in,France,France,"Watch My Chops originated in France
"
P495,Anata e originated in,Japan,France,"Anata e originated in France
"
P495,Philippine Lotto Draw originated in,Philippines,France,"Philippine Lotto Draw originated in France
"
P495,Gil Blas originated in,France,France,"Gil Blas originated in France
"
P495,Peer Gynt originated in,Norway,France,"Peer Gynt originated in France
"
P495,Tasavallan Presidentti originated in,Finland,Finland,"Tasavallan Presidentti originated in Finland
"
P495,Mantecadas originated in,Spain,Germany,"Mantecadas originated in Germany
"
P495,Gyllene Tider originated in,Sweden,Finland,"Gyllene Tider originated in Finland
"
P495,Econoline Crush originated in,Canada,Finland,"Econoline Crush originated in Finland
"
P495,Econoline Crush originated in,Canada,Seattle,"Econoline Crush originated in Seattle
"
P740,Econoline Crush originated in,Vancouver,Finland,"Econoline Crush originated in Finland
"
P740,Econoline Crush originated in,Vancouver,Seattle,"Econoline Crush originated in Seattle
"
P495,De Dietrich Ferroviaire originated in,France,Finland,"De Dietrich Ferroviaire originated in Finland
"
P495,Kathapurushan originated in,India,Finland,"Kathapurushan originated in Finland
"
P495,Stargate SG-1 originated in,Canada,Finland,"Stargate SG-1 originated in Finland
"
P495,Bakuman originated in,Japan,India,"Bakuman originated in India
"
P495,Brihonnola originated in,Bangladesh,Finland,"Brihonnola originated in Finland
"
P495,Lux Occulta originated in,Poland,Germany,"Lux Occulta originated in Germany
"
P495,Closely Watched Trains originated in,Czechoslovakia,Finland,"Closely Watched Trains originated in Finland
"
P495,Boom Crash Opera originated in,Australia,Finland,"Boom Crash Opera originated in Finland
"
P495,deadstar originated in,Australia,India,"deadstar originated in India
"
P495,Son Amores originated in,Argentina,Finland,"Son Amores originated in Finland
"
P495,Le duc d'Albe originated in,Italy,Finland,"Le duc d'Albe originated in Finland
"
P495,J-pop originated in,Japan,Finland,"J-pop originated in Finland
"
P495,Dacia originated in,Romania,India,"Dacia originated in India
"
P495,Di-rect originated in,Netherlands,Finland,"Di-rect originated in Finland
"
P495,sarangi originated in,India,Finland,"sarangi originated in Finland
"
P495,Top Club originated in,Scotland,India,"Top Club originated in India
"
P495,Jo Maxi originated in,Ireland,Finland,"Jo Maxi originated in Finland
"
P495,Sianspheric originated in,Canada,Germany,"Sianspheric originated in Germany
"
P495,Bobby Taylor & the Vancouvers originated in,Canada,Finland,"Bobby Taylor & the Vancouvers originated in Finland
"
P495,Sydney Twelve originated in,Australia,Finland,"Sydney Twelve originated in Finland
"
P495,Hockey Night in Canada originated in,Canada,Germany,"Hockey Night in Canada originated in Germany
"
P495,Nicktoons originated in,Brazil,Finland,"Nicktoons originated in Finland
"
P495,waffle originated in,Belgium,Finland,"waffle originated in Finland
"
P495,Elling originated in,Norway,India,"Elling originated in India
"
P495,Show-Ya originated in,Japan,Germany,"Show-Ya originated in Germany
"
P495,Red Rider originated in,Canada,Finland,"Red Rider originated in Finland
"
P495,Ernani originated in,Italy,India,"Ernani originated in India
"
P495,The Strypes originated in,Ireland,Ireland,"The Strypes originated in Ireland
"
P495,Rekkit Rabbit originated in,France,Ireland,"Rekkit Rabbit originated in Ireland
"
P495,Baaz originated in,India,Ireland,"Baaz originated in Ireland
"
P495,Agri Tayo Dito originated in,Philippines,Ireland,"Agri Tayo Dito originated in Ireland
"
P495,tapenade originated in,France,Ireland,"tapenade originated in Ireland
"
P495,Pinoy Idol originated in,Philippines,Ireland,"Pinoy Idol originated in Ireland
"
P495,The Phantom Carriage originated in,Sweden,Ireland,"The Phantom Carriage originated in Ireland
"
P495,Gueuze originated in,Belgium,Ireland,"Gueuze originated in Ireland
"
P495,Brice de Nice originated in,France,Ireland,"Brice de Nice originated in Ireland
"
P495,Mezamashi TV originated in,Japan,Ireland,"Mezamashi TV originated in Ireland
"
P495,Crazed Fruit originated in,Japan,Ireland,"Crazed Fruit originated in Ireland
"
P495,Doctor Who originated in,Canada,Ireland,"Doctor Who originated in Ireland
"
P495,Johan and Peewit originated in,Belgium,Ireland,"Johan and Peewit originated in Ireland
"
P495,Income Property originated in,Canada,Ireland,"Income Property originated in Ireland
"
P495,Dansbandskampen originated in,Sweden,Ireland,"Dansbandskampen originated in Ireland
"
P495,Sainyam originated in,India,Ireland,"Sainyam originated in Ireland
"
P495,Vogue Paris originated in,France,Ireland,"Vogue Paris originated in Ireland
"
P495,AC4 originated in,Sweden,Ireland,"AC4 originated in Ireland
"
P495,Orzo originated in,Italy,Ireland,"Orzo originated in Ireland
"
P495,Hootenanny Singers originated in,Sweden,Ireland,"Hootenanny Singers originated in Ireland
"
P495,TV Patrol Southern Tagalog originated in,Philippines,Ireland,"TV Patrol Southern Tagalog originated in Ireland
"
P495,Lukanka originated in,Bulgaria,Ireland,"Lukanka originated in Ireland
"
P495,nata de coco originated in,Philippines,Ireland,"nata de coco originated in Ireland
"
P495,El Cazador de la Bruja originated in,Japan,Ireland,"El Cazador de la Bruja originated in Ireland
"
P495,Devilman originated in,Japan,Ireland,"Devilman originated in Ireland
"
P495,West Beirut originated in,Lebanon,Ireland,"West Beirut originated in Ireland
"
P495,Equinox Flower originated in,Japan,Ireland,"Equinox Flower originated in Ireland
"
P495,The Man on the Roof originated in,Sweden,Ireland,"The Man on the Roof originated in Ireland
"
P495,Ayria originated in,Canada,Ireland,"Ayria originated in Ireland
"
P495,Ayria originated in,Canada,Mobile,"Ayria originated in Mobile
"
P740,Ayria originated in,Toronto,Ireland,"Ayria originated in Ireland
"
P740,Ayria originated in,Toronto,Mobile,"Ayria originated in Mobile
"
P495,FHM India originated in,India,Ireland,"FHM India originated in Ireland
"
P495,Mulheres de Areia originated in,Brazil,Ireland,"Mulheres de Areia originated in Ireland
"
P495,Pacific Banana originated in,Australia,Ireland,"Pacific Banana originated in Ireland
"
P495,Lies My Father Told Me originated in,Canada,Australia,"Lies My Father Told Me originated in Australia
"
P495,The Tenors originated in,Canada,Mexico,"The Tenors originated in Mexico
"
P495,El Filibusterismo originated in,Philippines,Canada,"El Filibusterismo originated in Canada
"
P495,association football originated in,England,Australia,"association football originated in Australia
"
P495,CNN Philippines originated in,Philippines,Australia,"CNN Philippines originated in Australia
"
P495,Heartbreak High originated in,Australia,Mexico,"Heartbreak High originated in Mexico
"
P495,The Departure originated in,Belgium,Mexico,"The Departure originated in Mexico
"
P495,Golgo 13 originated in,Japan,Canada,"Golgo 13 originated in Canada
"
P495,Stories We Tell originated in,Canada,Australia,"Stories We Tell originated in Australia
"
P495,Chibi Vampire originated in,Japan,Australia,"Chibi Vampire originated in Australia
"
P495,Leigh Ashford originated in,Canada,Australia,"Leigh Ashford originated in Australia
"
P495,Orphan Black originated in,Canada,Mexico,"Orphan Black originated in Mexico
"
P495,Dannii Minogue originated in,Australia,Australia,"Dannii Minogue originated in Australia
"
P495,To Heart originated in,Japan,Australia,"To Heart originated in Australia
"
P495,One Million Star originated in,Taiwan,Australia,"One Million Star originated in Australia
"
P495,Korrespondent originated in,Ukraine,Mexico,"Korrespondent originated in Mexico
"
P495,Waterzooi originated in,Belgium,Mexico,"Waterzooi originated in Mexico
"
P495,Mountain City Four originated in,Canada,Mexico,"Mountain City Four originated in Mexico
"
P495,Hartwall originated in,Finland,Australia,"Hartwall originated in Australia
"
P495,The Escaped originated in,Argentina,Mexico,"The Escaped originated in Mexico
"
P495,ballet de cour originated in,France,Australia,"ballet de cour originated in Australia
"
P495,EZ Basic originated in,Hungary,Mexico,"EZ Basic originated in Mexico
"
P495,EZ Basic originated in,Hungary,London,"EZ Basic originated in London
"
P740,EZ Basic originated in,Budapest,Mexico,"EZ Basic originated in Mexico
"
P740,EZ Basic originated in,Budapest,London,"EZ Basic originated in London
"
P495,Het Financieele Dagblad originated in,Netherlands,Australia,"Het Financieele Dagblad originated in Australia
"
P495,The Two Babylons originated in,Scotland,Canada,"The Two Babylons originated in Canada
"
P495,Slayers Great originated in,Japan,Mexico,"Slayers Great originated in Mexico
"
P495,The Manster originated in,Japan,Mexico,"The Manster originated in Mexico
"
P495,Niboshi originated in,Japan,Mexico,"Niboshi originated in Mexico
"
P495,FLCL originated in,Japan,Mexico,"FLCL originated in Mexico
"
P495,The Boys originated in,Finland,Australia,"The Boys originated in Australia
"
P495,Comic High! originated in,Japan,Australia,"Comic High! originated in Australia
"
P495,RTL Radio originated in,Netherlands,Mexico,"RTL Radio originated in Mexico
"
P495,Natarang originated in,India,Mexico,"Natarang originated in Mexico
"
P495,Boys Over Flowers originated in,Japan,Japan,"Boys Over Flowers originated in Japan
"
P495,El Caballo del pueblo originated in,Argentina,Japan,"El Caballo del pueblo originated in Japan
"
P495,No Game No Life originated in,Japan,Japan,"No Game No Life originated in Japan
"
P495,Mughal-e-Azam originated in,India,Japan,"Mughal-e-Azam originated in Japan
"
P495,Gormiti originated in,Italy,Japan,"Gormiti originated in Japan
"
P495,Timomatic originated in,Australia,Japan,"Timomatic originated in Japan
"
P495,Rollo and the Spirit of the Woods originated in,Finland,Japan,"Rollo and the Spirit of the Woods originated in Japan
"
P495,The Good Heart originated in,Iceland,Japan,"The Good Heart originated in Japan
"
P495,AnnaGrace originated in,Belgium,Japan,"AnnaGrace originated in Japan
"
P495,Kidstreet originated in,Canada,Japan,"Kidstreet originated in Japan
"
P495,Chakrapani originated in,India,Japan,"Chakrapani originated in Japan
"
P495,Schnitzel Paradise originated in,Netherlands,Japan,"Schnitzel Paradise originated in Japan
"
P495,The Swiss Family Robinson originated in,Switzerland,Japan,"The Swiss Family Robinson originated in Japan
"
P495,Novelas ejemplares originated in,Spain,Japan,"Novelas ejemplares originated in Japan
"
P495,The World Sinks Except Japan originated in,Japan,Japan,"The World Sinks Except Japan originated in Japan
"
P495,Video Option originated in,Japan,Japan,"Video Option originated in Japan
"
P495,Tocotronic originated in,Germany,Japan,"Tocotronic originated in Japan
"
P495,Le Bureau originated in,France,Japan,"Le Bureau originated in Japan
"
P495,Dagbladet Information originated in,Denmark,Japan,"Dagbladet Information originated in Japan
"
P495,Role Models originated in,Germany,Japan,"Role Models originated in Japan
"
P495,The Decameron originated in,Italy,Japan,"The Decameron originated in Japan
"
P495,Mama Corsica originated in,France,Japan,"Mama Corsica originated in Japan
"
P495,Japanese Pharmacopoeia originated in,Japan,Japan,"Japanese Pharmacopoeia originated in Japan
"
P495,Radio Free Roscoe originated in,Canada,Japan,"Radio Free Roscoe originated in Japan
"
P495,Sommarlovsmorgon originated in,Sweden,Japan,"Sommarlovsmorgon originated in Japan
"
P495,Cutie Honey originated in,Japan,Japan,"Cutie Honey originated in Japan
"
P495,Godzilla Raids Again originated in,Japan,Japan,"Godzilla Raids Again originated in Japan
"
P495,Wild Adapter originated in,Japan,Japan,"Wild Adapter originated in Japan
"
P495,CFL on CBC originated in,Canada,Japan,"CFL on CBC originated in Japan
"
P495,Threat Signal originated in,Canada,Japan,"Threat Signal originated in Japan
"
P495,Chilly Beach originated in,Canada,Japan,"Chilly Beach originated in Japan
"
P495,Dir en grey originated in,Japan,Japan,"Dir en grey originated in Japan
"
P495,Dash Berlin originated in,Netherlands,Germany,"Dash Berlin originated in Germany
"
P495,Saint-Marcellin originated in,France,Germany,"Saint-Marcellin originated in Germany
"
P495,Ultraman Dyna originated in,Japan,Germany,"Ultraman Dyna originated in Germany
"
P495,antipasto originated in,Italy,Germany,"antipasto originated in Germany
"
P495,Matt Finish originated in,Australia,Germany,"Matt Finish originated in Germany
"
P495,Brzydula originated in,Poland,Germany,"Brzydula originated in Germany
"
P495,In-Flight Safety originated in,Canada,Germany,"In-Flight Safety originated in Germany
"
P495,Boyzone originated in,Ireland,Germany,"Boyzone originated in Germany
"
P495,Scotland Today originated in,Scotland,Germany,"Scotland Today originated in Germany
"
P495,Skavlan originated in,Sweden,Germany,"Skavlan originated in Germany
"
P495,Necromance originated in,Germany,Germany,"Necromance originated in Germany
"
P495,Kroumata originated in,Sweden,Germany,"Kroumata originated in Germany
"
P495,The Starlost originated in,Canada,Germany,"The Starlost originated in Germany
"
P495,Ao Haru Ride originated in,Japan,Germany,"Ao Haru Ride originated in Germany
"
P495,Calavera originated in,Mexico,Germany,"Calavera originated in Germany
"
P495,U2 originated in,Ireland,Germany,"U2 originated in Germany
"
P495,Bandila originated in,Philippines,Germany,"Bandila originated in Germany
"
P495,Crash Investigation Unit originated in,Australia,Germany,"Crash Investigation Unit originated in Germany
"
P495,Stealing Beauty originated in,France,Germany,"Stealing Beauty originated in Germany
"
P495,Pretty Maids originated in,Denmark,Germany,"Pretty Maids originated in Germany
"
P495,Tristan Psionic originated in,Canada,Germany,"Tristan Psionic originated in Germany
"
P495,Bienvenue chez les Ch'tis originated in,France,Germany,"Bienvenue chez les Ch'tis originated in Germany
"
P495,Palt originated in,Sweden,Germany,"Palt originated in Germany
"
P495,Stonegard originated in,Norway,Germany,"Stonegard originated in Germany
"
P495,Stonegard originated in,Norway,Australia,"Stonegard originated in Australia
"
P740,Stonegard originated in,Oslo,Germany,"Stonegard originated in Germany
"
P740,Stonegard originated in,Oslo,Australia,"Stonegard originated in Australia
"
P495,Shironamhin originated in,Bangladesh,Germany,"Shironamhin originated in Germany
"
P495,escabeche originated in,Spain,Germany,"escabeche originated in Germany
"
P495,Ah My Buddha originated in,Japan,Germany,"Ah My Buddha originated in Germany
"
P495,The Dream Catchers originated in,Singapore,Germany,"The Dream Catchers originated in Germany
"
P495,Asian Scientist originated in,Singapore,Germany,"Asian Scientist originated in Germany
"
P495,Sonic X originated in,Japan,Germany,"Sonic X originated in Germany
"
P495,The Dewarists originated in,India,Germany,"The Dewarists originated in Germany
"
P495,PC PowerPlay originated in,Australia,Germany,"PC PowerPlay originated in Germany
"
P495,"Kapuso Mo, Jessica Soho originated in",Philippines,Philippines,"Kapuso Mo, Jessica Soho originated in Philippines
"
P495,Rang De Basanti originated in,India,Japan,"Rang De Basanti originated in Japan
"
P495,Dogora originated in,Japan,Mexico,"Dogora originated in Mexico
"
P495,Bukkene Bruse originated in,Norway,Philippines,"Bukkene Bruse originated in Philippines
"
P495,Sholay originated in,India,Singapore,"Sholay originated in Singapore
"
P495,Deewaar originated in,India,Singapore,"Deewaar originated in Singapore
"
P495,Rokudenashi Blues originated in,Japan,Philippines,"Rokudenashi Blues originated in Philippines
"
P495,The Sharon Cuneta Show originated in,Philippines,Japan,"The Sharon Cuneta Show originated in Japan
"
P495,Ma vie en rose originated in,Belgium,Japan,"Ma vie en rose originated in Japan
"
P495,3 Idiots originated in,India,Philippines,"3 Idiots originated in Philippines
"
P495,Floricienta originated in,Argentina,Japan,"Floricienta originated in Japan
"
P495,Amenra originated in,Belgium,Singapore,"Amenra originated in Singapore
"
P495,Female Agents originated in,France,Japan,"Female Agents originated in Japan
"
P495,Genma Taisen originated in,Japan,Philippines,"Genma Taisen originated in Philippines
"
P495,Sope originated in,Mexico,Mexico,"Sope originated in Mexico
"
P495,Selector Infected WIXOSS originated in,Japan,Philippines,"Selector Infected WIXOSS originated in Philippines
"
P495,golf originated in,Scotland,Japan,"golf originated in Japan
"
P495,Pilipinas News originated in,Philippines,Japan,"Pilipinas News originated in Japan
"
P495,Samurai Pizza Cats originated in,Japan,Japan,"Samurai Pizza Cats originated in Japan
"
P495,The Party Boys originated in,Australia,Singapore,"The Party Boys originated in Singapore
"
P495,Swing Girls originated in,Japan,Singapore,"Swing Girls originated in Singapore
"
P495,Keinohrhasen originated in,Germany,Philippines,"Keinohrhasen originated in Philippines
"
P495,Coulommiers cheese originated in,France,Japan,"Coulommiers cheese originated in Japan
"
P495,Sugo originated in,Philippines,Mexico,"Sugo originated in Mexico
"
P495,Gutur Gu originated in,India,Singapore,"Gutur Gu originated in Singapore
"
P495,I Not Stupid originated in,Singapore,Philippines,"I Not Stupid originated in Philippines
"
P495,Sven-Ingvars originated in,Sweden,Philippines,"Sven-Ingvars originated in Philippines
"
P495,Trouw originated in,Netherlands,Mexico,"Trouw originated in Mexico
"
P495,Tulpan originated in,Russia,Mexico,"Tulpan originated in Mexico
"
P495,Seven Servants originated in,Germany,Singapore,"Seven Servants originated in Singapore
"
P495,Planet 51 originated in,Spain,Japan,"Planet 51 originated in Japan
"
P495,The Amazing Race Canada originated in,Canada,Philippines,"The Amazing Race Canada originated in Philippines
"
P495,9K720 Iskander originated in,Russia,Russia,"9K720 Iskander originated in Russia
"
P495,Food Safari originated in,Australia,Israel,"Food Safari originated in Israel
"
P495,Daryll-Ann originated in,Netherlands,Russia,"Daryll-Ann originated in Russia
"
P495,Carosello originated in,Italy,Israel,"Carosello originated in Israel
"
P495,Save Tonight originated in,Sweden,Israel,"Save Tonight originated in Israel
"
P495,Bezimienni bohaterowie originated in,Poland,Russia,"Bezimienni bohaterowie originated in Russia
"
P495,High Valley originated in,Canada,Israel,"High Valley originated in Israel
"
P495,salmorejo originated in,Spain,Israel,"salmorejo originated in Israel
"
P495,pretzel originated in,Germany,Israel,"pretzel originated in Israel
"
P495,Nobody Waved Good-bye originated in,Canada,Russia,"Nobody Waved Good-bye originated in Russia
"
P495,fish and chips originated in,England,Sweden,"fish and chips originated in Sweden
"
P495,Teledyaryo originated in,Philippines,Argentina,"Teledyaryo originated in Argentina
"
P495,Pavitra Rishta originated in,India,Russia,"Pavitra Rishta originated in Russia
"
P495,The Jakarta Post originated in,Indonesia,Sweden,"The Jakarta Post originated in Sweden
"
P495,Feijoada originated in,Portugal,Israel,"Feijoada originated in Israel
"
P495,I Touch Myself originated in,Australia,Sweden,"I Touch Myself originated in Sweden
"
P495,Mohabbatein originated in,India,Sweden,"Mohabbatein originated in Sweden
"
P495,Ronan Keating originated in,Australia,Sweden,"Ronan Keating originated in Sweden
"
P495,Nymphomaniac originated in,Denmark,Argentina,"Nymphomaniac originated in Argentina
"
P495,Prokurator Alicja Horn originated in,Poland,Russia,"Prokurator Alicja Horn originated in Russia
"
P495,Absynthe Minded originated in,Belgium,Argentina,"Absynthe Minded originated in Argentina
"
P495,FitzGerald dynasty originated in,Wales,Russia,"FitzGerald dynasty originated in Russia
"
P495,The Hairy Bird originated in,Canada,Argentina,"The Hairy Bird originated in Argentina
"
P495,Paradise Now originated in,Israel,Israel,"Paradise Now originated in Israel
"
P495,Young Canadians originated in,Canada,Israel,"Young Canadians originated in Israel
"
P495,La Vanguardia originated in,Spain,Argentina,"La Vanguardia originated in Argentina
"
P495,The Pupil originated in,Singapore,Sweden,"The Pupil originated in Sweden
"
P495,Dozer originated in,Sweden,Israel,"Dozer originated in Israel
"
P495,2LDK originated in,Japan,Sweden,"2LDK originated in Sweden
"
P495,The H-Man originated in,Japan,Sweden,"The H-Man originated in Sweden
"
P495,Tinkle originated in,India,Israel,"Tinkle originated in Israel
"
P495,Gladrags originated in,India,Israel,"Gladrags originated in Israel
"
P495,Debdas originated in,India,India,"Debdas originated in India
"
P495,VTT Technical Research Centre of Finland originated in,Finland,India,"VTT Technical Research Centre of Finland originated in India
"
P495,Tenjho Tenge originated in,Japan,India,"Tenjho Tenge originated in India
"
P495,Dronningens vagtmester originated in,Denmark,India,"Dronningens vagtmester originated in India
"
P495,Hermanas originated in,Spain,India,"Hermanas originated in India
"
P495,Euroclear originated in,Belgium,India,"Euroclear originated in India
"
P495,Home Sweetie Home originated in,Philippines,India,"Home Sweetie Home originated in India
"
P495,Hearts of Soul originated in,Netherlands,India,"Hearts of Soul originated in India
"
P495,Titash Ekti Nadir Naam originated in,Bangladesh,India,"Titash Ekti Nadir Naam originated in India
"
P495,Mansaf originated in,Jordan,India,"Mansaf originated in India
"
P495,Dansez pentru tine originated in,Romania,India,"Dansez pentru tine originated in India
"
P495,Tina Arena originated in,Australia,India,"Tina Arena originated in India
"
P495,The Creepshow originated in,Canada,India,"The Creepshow originated in India
"
P495,The Creepshow originated in,Canada,Netherlands,"The Creepshow originated in Netherlands
"
P740,The Creepshow originated in,Burlington,India,"The Creepshow originated in India
"
P740,The Creepshow originated in,Burlington,Netherlands,"The Creepshow originated in Netherlands
"
P740,Pianos Become the Teeth originated in,Baltimore,Baltimore,"Pianos Become the Teeth originated in Baltimore
"
P740,Barren Earth originated in,Helsinki,Mobile,"Barren Earth originated in Mobile
"
P740,SNCF originated in,Paris,Mobile,"SNCF originated in Mobile
"
P740,Starwood Capital Group originated in,Greenwich,Philadelphia,"Starwood Capital Group originated in Philadelphia
"
P740,Clap Your Hands Say Yeah originated in,Philadelphia,Chicago,"Clap Your Hands Say Yeah originated in Chicago
"
P740,Cocteau Twins originated in,Scotland,Chicago,"Cocteau Twins originated in Chicago
"
P740,Odex originated in,Singapore,Mobile,"Odex originated in Mobile
"
P740,Swiss Federal Railways originated in,Bern,Philadelphia,"Swiss Federal Railways originated in Philadelphia
"
P740,Scott Paper Company originated in,Philadelphia,Philadelphia,"Scott Paper Company originated in Philadelphia
"
P740,Comerica originated in,Detroit,Mobile,"Comerica originated in Mobile
"
P740,Lenovo originated in,Beijing,Mobile,"Lenovo originated in Mobile
"
P740,Melody Club originated in,Sweden,Mobile,"Melody Club originated in Mobile
"
P740,Chvrches originated in,Glasgow,Mobile,"Chvrches originated in Mobile
"
P740,The Boat People originated in,Brisbane,Philadelphia,"The Boat People originated in Philadelphia
"
P740,Dragonette originated in,Toronto,Mobile,"Dragonette originated in Mobile
"
P740,Hostage Life originated in,Toronto,Mobile,"Hostage Life originated in Mobile
"
P740,Coffin Break originated in,Seattle,Philadelphia,"Coffin Break originated in Philadelphia
"
P740,Ganz Works originated in,Budapest,Mobile,"Ganz Works originated in Mobile
"
P740,Iran Airtour originated in,Tehran,Philadelphia,"Iran Airtour originated in Philadelphia
"
